config_id,bailout_enabled,bailout_tau_sim,bailout_tau_idf,dataset,num_queries,strict_10,doc_rec_10,strict_50,doc_rec_50,mrr_10,avg_bailed_cands_generated,avg_bailed_stems_in_qvec,avg_final_qvec_len,avg_anchors,in_pool_hit_rate_pct,lat_total_mean_ms,lat_total_p50_ms,lat_total_p95_ms,lat_anchor_total_ms,lat_bailout_ms,lat_probing_ms,lat_itmpe_ms,lat_bm25_ms,tti_total_sec,tti_bm25_sec,tti_vocab_sec,tti_matrix_sec
baseline_no_bailout,False,0.85,999.0,enterpriserag_doc_level,500,85.32,82.12,90.21,88.8,0.7221,0.0,0.117,1014.56,21.91,45.66,13.15,12.95,16.13,3.872,0.038,0.14,0.78,8.3,66.77,63.25,0.52,3.0
bailout__sim_0.65__idf_0.0,True,0.65,0.0,enterpriserag_doc_level,500,85.11,82.1,90.43,89.01,0.7218,35374.953,18129.394,19143.83,21.91,45.66,180.14,172.23,271.61,6.98,65.787,0.53,7.59,96.27,66.77,63.25,0.52,3.0
bailout__sim_0.70__idf_0.0,True,0.7,0.0,enterpriserag_doc_level,500,84.89,81.92,90.43,88.91,0.7263,5531.923,4585.938,5600.38,21.91,45.66,75.08,71.03,115.87,4.764,25.173,0.3,1.81,42.57,66.77,63.25,0.52,3.0
bailout__sim_0.75__idf_0.0,True,0.75,0.0,enterpriserag_doc_level,500,85.11,82.0,90.0,88.59,0.7261,1572.315,1489.226,2503.67,21.91,45.66,43.96,41.28,67.58,4.274,19.509,0.28,1.09,18.65,66.77,63.25,0.52,3.0
bailout__sim_0.80__idf_0.0,True,0.8,0.0,enterpriserag_doc_level,500,84.68,81.75,90.21,88.83,0.7278,629.396,603.406,1617.85,21.91,45.66,35.76,33.79,54.68,4.145,18.049,0.27,0.88,12.34,66.77,63.25,0.52,3.0
bailout__sim_0.85__idf_0.0,True,0.85,0.0,enterpriserag_doc_level,500,84.68,81.92,90.43,89.1,0.7236,188.987,181.436,1195.88,21.91,45.66,32.06,30.83,46.7,4.051,17.412,0.27,0.79,9.49,66.77,63.25,0.52,3.0
bailout__sim_0.65__idf_2.0,True,0.65,2.0,enterpriserag_doc_level,500,85.32,82.14,90.43,89.01,0.7222,14754.181,10437.828,11452.27,21.91,45.66,113.05,109.51,186.04,5.096,28.694,0.32,3.72,73.92,66.77,63.25,0.52,3.0
bailout__sim_0.70__idf_2.0,True,0.7,2.0,enterpriserag_doc_level,500,85.32,82.18,90.43,88.91,0.7235,2404.268,2179.174,3193.61,21.91,45.66,42.16,39.29,71.0,4.187,11.745,0.24,1.24,24.53,66.77,63.25,0.52,3.0
bailout__sim_0.75__idf_2.0,True,0.75,2.0,enterpriserag_doc_level,500,85.11,82.0,90.21,88.8,0.7242,662.185,628.379,1642.82,21.91,45.66,26.69,25.14,41.44,4.062,9.261,0.23,0.89,12.17,66.77,63.25,0.52,3.0
bailout__sim_0.80__idf_2.0,True,0.8,2.0,enterpriserag_doc_level,500,84.68,81.78,90.21,88.83,0.7261,237.855,219.011,1233.45,21.91,45.66,23.46,22.18,35.64,4.034,8.633,0.22,0.8,9.72,66.77,63.25,0.52,3.0
bailout__sim_0.85__idf_2.0,True,0.85,2.0,enterpriserag_doc_level,500,84.89,82.0,90.64,89.32,0.7227,76.296,69.168,1083.61,21.91,45.66,22.06,21.08,31.19,3.997,8.377,0.22,0.77,8.65,66.77,63.25,0.52,3.0
bailout__sim_0.65__idf_3.0,True,0.65,3.0,enterpriserag_doc_level,500,85.32,82.14,90.43,89.01,0.7221,6781.728,5666.215,6680.66,21.91,45.66,68.9,65.18,129.06,4.584,13.917,0.26,2.1,47.46,66.77,63.25,0.52,3.0
bailout__sim_0.70__idf_3.0,True,0.7,3.0,enterpriserag_doc_level,500,85.32,82.21,90.43,89.01,0.7225,1074.121,1002.815,2017.26,21.91,45.66,27.67,26.05,46.02,4.057,6.186,0.2,0.97,16.15,66.77,63.25,0.52,3.0
bailout__sim_0.75__idf_3.0,True,0.75,3.0,enterpriserag_doc_level,500,85.11,81.98,90.43,89.01,0.7261,280.838,255.772,1270.21,21.91,45.66,20.22,19.34,29.5,4.009,5.063,0.19,0.81,10.09,66.77,63.25,0.52,3.0
bailout__sim_0.80__idf_3.0,True,0.8,3.0,enterpriserag_doc_level,500,84.89,81.75,90.43,89.04,0.7255,110.851,93.17,1107.61,21.91,45.66,18.77,17.98,26.66,4.001,4.84,0.2,0.78,8.91,66.77,63.25,0.52,3.0
bailout__sim_0.85__idf_3.0,True,0.85,3.0,enterpriserag_doc_level,500,84.68,81.61,90.64,89.32,0.7214,46.504,39.453,1053.89,21.91,45.66,18.18,17.51,25.06,3.953,4.706,0.18,0.77,8.53,66.77,63.25,0.52,3.0
bailout__sim_0.65__idf_4.0,True,0.65,4.0,enterpriserag_doc_level,500,85.32,82.14,90.21,88.8,0.7219,3395.704,3060.945,4075.39,21.91,45.66,43.3,39.15,90.41,4.256,7.493,0.21,1.46,29.57,66.77,63.25,0.52,3.0
bailout__sim_0.70__idf_4.0,True,0.7,4.0,enterpriserag_doc_level,500,85.32,82.15,90.43,88.91,0.7236,586.566,555.349,1569.79,21.91,45.66,21.04,19.57,35.48,4.02,3.581,0.18,0.88,12.3,66.77,63.25,0.52,3.0
bailout__sim_0.75__idf_4.0,True,0.75,4.0,enterpriserag_doc_level,500,85.11,81.98,90.43,88.91,0.7259,174.689,159.289,1173.73,21.91,45.66,17.29,16.61,23.98,3.983,2.996,0.18,0.79,9.3,66.77,63.25,0.52,3.0
bailout__sim_0.80__idf_4.0,True,0.8,4.0,enterpriserag_doc_level,500,85.11,81.93,90.43,88.93,0.726,72.247,61.347,1075.79,21.91,45.66,16.5,15.96,21.61,3.95,2.851,0.17,0.78,8.71,66.77,63.25,0.52,3.0
bailout__sim_0.85__idf_4.0,True,0.85,4.0,enterpriserag_doc_level,500,84.89,81.8,90.64,89.17,0.7239,30.819,26.594,1041.03,21.91,45.66,15.98,15.35,20.57,3.891,2.751,0.17,0.77,8.37,66.77,63.25,0.52,3.0
baseline_no_bailout,False,0.85,999.0,liverag_doc_level,895,97.77,97.32,98.99,98.83,0.9392,0.0,0.012,1004.71,11.31,56.69,8.55,8.57,10.03,2.533,0.035,0.13,0.73,5.09,3.74,2.03,0.05,1.66
bailout__sim_0.65__idf_0.0,True,0.65,0.0,liverag_doc_level,895,97.77,97.37,98.99,98.83,0.9402,8989.638,5819.686,6824.38,11.31,56.69,54.86,53.37,87.67,3.008,19.817,0.27,2.16,29.0,3.74,2.03,0.05,1.66
bailout__sim_0.70__idf_0.0,True,0.7,0.0,liverag_doc_level,895,97.88,97.49,98.99,98.88,0.9391,1182.778,1029.189,2033.88,11.31,56.69,23.78,23.32,35.44,2.669,9.29,0.22,0.91,10.57,3.74,2.03,0.05,1.66
bailout__sim_0.75__idf_0.0,True,0.75,0.0,liverag_doc_level,895,98.1,97.71,99.22,99.16,0.9412,199.251,191.606,1196.3,11.31,56.69,17.67,17.49,24.72,2.6,7.962,0.21,0.73,6.12,3.74,2.03,0.05,1.66
bailout__sim_0.80__idf_0.0,True,0.8,0.0,liverag_doc_level,895,98.1,97.77,99.22,99.11,0.9412,46.534,45.759,1050.45,11.31,56.69,16.64,16.54,22.78,2.599,7.758,0.21,0.7,5.33,3.74,2.03,0.05,1.66
bailout__sim_0.85__idf_0.0,True,0.85,0.0,liverag_doc_level,895,97.88,97.49,99.44,99.27,0.9383,11.105,10.954,1015.65,11.31,56.69,16.18,16.1,22.38,2.517,7.617,0.19,0.7,5.13,3.74,2.03,0.05,1.66
bailout__sim_0.65__idf_2.0,True,0.65,2.0,liverag_doc_level,895,97.77,97.37,98.99,98.83,0.9402,3750.63,3129.604,4134.3,11.31,56.69,35.34,33.98,60.96,2.785,9.489,0.23,1.35,21.21,3.74,2.03,0.05,1.66
bailout__sim_0.70__idf_2.0,True,0.7,2.0,liverag_doc_level,895,97.88,97.49,98.99,98.88,0.9397,546.582,515.772,1520.46,11.31,56.69,16.8,16.41,24.28,2.627,5.293,0.19,0.8,7.81,3.74,2.03,0.05,1.66
